date,direction,bo_minutes,trigger_minutes,trigger_rank,depth_at_trigger,dr_size,entry,dist_to_extreme_pts,leg_risk_pts,leg_stopped_first,leg_mfe_r,leg_hit_old_extreme,leg_r_old_extreme,leg_hit_ext_025,leg_r_ext_025,leg_hit_ext_05,leg_r_ext_05,trig_risk_pts,trig_stopped_first,trig_mfe_r,trig_hit_old_extreme,trig_r_old_extreme,trig_hit_ext_025,trig_r_ext_025,trig_hit_ext_05,trig_r_ext_05,depth_b
2021-05-11,up,50,180,3,0.03923357664233577,274.0,13353.25,5.5,5.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,5.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-12,down,0,15,1,0.18169014084507043,177.5,13061.25,7.25,25.0,True,1.01,True,0.29,False,-1.0,False,-1.0,25.0,True,1.01,True,0.29,False,-1.0,False,-1.0,<25%
2021-05-12,down,0,75,2,0.20933165195460277,198.25,13048.5,15.25,26.25,True,2.6095238095238096,True,0.580952380952381,True,2.469047619047619,False,-1.0,24.5,True,2.795918367346939,True,0.6224489795918368,True,2.645408163265306,False,-1.0,<25%
2021-05-12,down,0,95,3,0.1138121546961326,226.25,13013.25,8.0,17.75,True,1.8732394366197183,True,0.4507042253521127,False,-1.0,False,-1.0,17.75,True,1.8732394366197183,True,0.4507042253521127,False,-1.0,False,-1.0,<25%
2021-05-12,down,0,125,4,0.25347912524850896,251.5,13018.5,38.5,25.25,True,0.7326732673267327,False,-1.0,False,-1.0,False,-1.0,25.25,True,0.7326732673267327,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-12,down,0,180,5,0.43439363817097415,251.5,13018.75,38.75,70.5,False,0.8368794326241135,True,0.549645390070922,False,0.2872340425531915,False,0.2872340425531915,23.0,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-13,down,70,140,1,0.5369532428355958,165.75,13099.75,41.75,47.25,True,2.1693121693121693,True,0.8835978835978836,True,1.7605820105820107,False,-1.0,34.0,True,3.014705882352941,True,1.2279411764705883,True,2.4466911764705883,False,-1.0,50-75%
2021-05-13,down,70,165,2,0.2805755395683453,173.75,13056.25,6.25,42.5,True,1.388235294117647,True,0.14705882352941177,True,1.1691176470588236,False,-1.0,42.25,True,1.3964497041420119,True,0.14792899408284024,True,1.1760355029585798,False,-1.0,25-50%
2021-05-13,down,70,195,3,0.1545253863134658,226.5,13008.5,11.25,23.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,23.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-13,down,70,280,4,0.7041942604856513,226.5,13124.0,126.75,32.75,True,0.5572519083969466,False,-1.0,False,-1.0,False,-1.0,32.75,True,0.5572519083969466,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-05-13,down,70,325,5,0.760485651214128,226.5,13097.5,100.25,72.0,False,0.0,False,-0.0,False,-0.0,False,-0.0,27.5,False,0.0,False,-0.0,False,-0.0,False,-0.0,75-100%
2021-05-14,up,0,60,1,0.10922787193973635,132.75,13337.75,3.75,10.75,True,0.8372093023255814,True,0.3488372093023256,False,-1.0,False,-1.0,9.25,True,0.972972972972973,True,0.40540540540540543,False,-1.0,False,-1.0,<25%
2021-05-14,up,0,155,2,0.07448494453248812,157.75,13361.5,5.0,6.75,True,0.2222222222222222,False,-1.0,False,-1.0,False,-1.0,6.75,True,0.2222222222222222,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-14,up,0,210,3,0.0639269406392694,164.25,13371.0,2.0,8.5,False,6.5,True,0.23529411764705882,True,5.0661764705882355,False,1.588235294117647,8.5,False,6.5,True,0.23529411764705882,True,5.0661764705882355,False,1.588235294117647,<25%
2021-05-14,up,0,235,4,0.07779349363507779,176.75,13380.0,5.5,8.25,False,5.606060606060606,True,0.6666666666666666,False,0.5454545454545454,False,0.5454545454545454,7.5,False,6.166666666666667,True,0.7333333333333333,False,0.6,False,0.6,<25%
2021-05-14,up,0,315,5,0.20229885057471264,217.5,13404.0,22.25,21.75,True,0.8620689655172413,False,-1.0,False,-1.0,False,-1.0,15.5,True,1.2096774193548387,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-17,down,95,145,1,0.3951612903225806,124.0,13235.75,16.75,32.25,True,1.6434108527131783,True,0.5193798449612403,True,1.4806201550387597,False,-1.0,13.75,True,3.8545454545454545,True,1.2181818181818183,True,3.4727272727272727,False,-1.0,25-50%
2021-05-17,down,95,185,2,0.21280276816608998,144.5,13211.25,12.75,18.0,True,1.5833333333333333,True,0.7083333333333334,False,-1.0,False,-1.0,18.0,True,1.5833333333333333,True,0.7083333333333334,False,-1.0,False,-1.0,<25%
2021-05-17,down,95,245,3,0.40249609984399376,160.25,13217.5,34.75,29.75,True,0.15966386554621848,False,-1.0,False,-1.0,False,-1.0,20.25,True,0.2345679012345679,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-18,up,0,15,1,0.2857142857142857,92.75,13390.75,2.0,24.5,True,0.23469387755102042,True,0.08163265306122448,False,-1.0,False,-1.0,19.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-18,up,0,100,2,0.727979274611399,96.5,13351.75,44.75,25.5,True,0.9215686274509803,False,-1.0,False,-1.0,False,-1.0,16.25,True,1.4461538461538461,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-05-18,up,0,220,3,0.810880829015544,96.5,13333.5,63.0,15.25,True,0.3114754098360656,False,-1.0,False,-1.0,False,-1.0,10.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,75-100%
2021-05-18,down,240,315,1,0.46325878594249204,156.5,13259.0,19.0,53.5,False,1.0327102803738317,True,0.35514018691588783,False,0.8551401869158879,False,0.8551401869158879,40.0,False,1.38125,True,0.475,False,1.14375,False,1.14375,25-50%
2021-05-19,up,20,85,1,0.29819694868238555,180.25,13133.0,16.75,37.0,False,2.972972972972973,True,0.4527027027027027,True,1.6706081081081081,True,2.8885135135135136,30.75,False,3.5772357723577235,True,0.5447154471544715,True,2.0101626016260163,True,3.475609756097561,25-50%
2021-05-19,up,20,235,2,0.10581506196377502,262.25,13219.25,12.5,15.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,15.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-19,up,20,275,3,0.43418647166361973,273.5,13164.25,78.75,40.0,False,1.86875,False,1.65625,False,1.65625,False,1.65625,27.75,False,2.6936936936936937,False,2.3873873873873874,False,2.3873873873873874,False,2.3873873873873874,25-50%
2021-05-20,up,0,60,1,0.04068241469816273,190.5,13471.5,0.25,7.5,True,4.3,True,0.03333333333333333,False,-1.0,False,-1.0,7.5,True,4.3,True,0.03333333333333333,False,-1.0,False,-1.0,<25%
2021-05-20,up,0,155,2,0.26853932584269663,222.5,13481.5,22.25,37.5,False,1.1,True,0.5933333333333334,False,0.13333333333333333,False,0.13333333333333333,13.75,True,1.1818181818181819,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-21,down,5,10,1,0.14583333333333334,108.0,13465.25,3.25,12.5,True,1.72,True,0.26,False,-1.0,False,-1.0,12.5,True,1.72,True,0.26,False,-1.0,False,-1.0,<25%
2021-05-21,down,5,75,2,0.17690875232774675,134.25,13436.75,1.0,22.75,True,1.6923076923076923,True,0.04395604395604396,True,1.5192307692307692,False,-1.0,15.0,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-21,down,5,230,3,0.37554585152838427,171.75,13442.25,44.0,20.5,False,2.268292682926829,True,2.1463414634146343,False,1.6219512195121952,False,1.6219512195121952,7.25,True,4.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-05-24,up,5,40,1,0.1232,156.25,13646.25,3.5,15.75,True,1.126984126984127,True,0.2222222222222222,False,-1.0,False,-1.0,12.75,True,1.392156862745098,True,0.27450980392156865,False,-1.0,False,-1.0,<25%
2021-05-24,up,5,75,2,0.04216867469879518,166.0,13657.75,1.75,5.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,5.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-24,up,5,150,3,0.20527859237536658,170.5,13643.5,20.5,14.5,False,2.9310344827586206,True,1.4137931034482758,False,-0.41379310344827586,False,-0.41379310344827586,7.5,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-24,up,5,215,4,0.05805515239477504,172.25,13663.75,2.0,8.0,True,2.78125,True,0.25,False,-1.0,False,-1.0,3.75,True,5.933333333333334,True,0.5333333333333333,False,-1.0,False,-1.0,<25%
2021-05-24,up,5,225,5,0.039886039886039885,175.5,13668.5,0.5,6.5,True,2.6923076923076925,True,0.07692307692307693,False,-1.0,False,-1.0,6.5,True,2.6923076923076925,True,0.07692307692307693,False,-1.0,False,-1.0,<25%
2021-05-24,up,5,250,6,0.03412073490813648,190.5,13681.25,2.75,3.75,True,1.2666666666666666,True,0.7333333333333333,False,-1.0,False,-1.0,3.75,True,1.2666666666666666,True,0.7333333333333333,False,-1.0,False,-1.0,<25%
2021-05-25,down,0,30,1,0.5208333333333334,96.0,13659.25,22.75,27.25,False,1.926605504587156,True,0.8348623853211009,True,1.7155963302752293,False,0.11009174311926606,24.5,False,2.142857142857143,True,0.9285714285714286,True,1.9081632653061225,False,0.12244897959183673,50-75%
2021-05-25,down,0,110,2,0.36381709741550694,125.75,13639.25,32.5,13.25,True,0.32075471698113206,False,-1.0,False,-1.0,False,-1.0,10.5,True,0.40476190476190477,False,-1.0,False,-1.0,False,-1.0,25-50%
