date,direction,bo_minutes,trigger_minutes,depth_at_trigger,dr_size,leg_bars,entry,stop,risk_pts,risk_dr,dist_to_extreme_r,mfe_r,stopped_first,hit_old_extreme,hit_ext_025,hit_ext_05,r_old_extreme,r_ext_025,r_ext_05
2024-09-03,down,0,50,0.2537425149700599,334.0,1,19195.5,19234.0,38.5,0.11526946107784432,1.2012987012987013,7.3896103896103895,False,True,True,True,1.2012987012987013,3.3701298701298703,5.538961038961039
2024-09-04,up,0,110,0.49819168173598555,276.5,2,19042.5,18977.0,65.5,0.23688969258589512,1.1030534351145038,0.6908396946564885,True,False,False,False,-1.0,-1.0,-1.0
2024-09-05,down,55,140,0.39384116693679094,308.5,1,18925.75,18963.5,37.75,0.12236628849270664,2.218543046357616,1.0264900662251655,True,False,False,False,-1.0,-1.0,-1.0
2024-09-13,up,75,250,0.4511173184357542,179.0,1,19513.25,19496.5,16.75,0.0935754189944134,3.8208955223880596,0.7164179104477612,True,False,False,False,-1.0,-1.0,-1.0
2024-09-17,down,110,130,0.284688995215311,209.0,1,19655.75,19700.75,45.0,0.215311004784689,0.32222222222222224,1.8055555555555556,False,True,True,False,0.32222222222222224,1.4833333333333334,-0.5944444444444444
2024-09-24,up,75,305,0.4049665711556829,261.75,3,20160.5,20108.75,51.75,0.1977077363896848,1.0483091787439613,0.26570048309178745,False,False,False,False,0.18840579710144928,0.18840579710144928,0.18840579710144928
2024-09-26,down,0,10,0.2814726840855107,210.5,1,20324.0,20366.25,42.25,0.2007125890736342,0.40236686390532544,3.2189349112426036,False,True,True,True,0.40236686390532544,1.6479289940828403,2.893491124260355
2024-09-27,down,0,165,0.4320809248554913,173.0,2,20239.25,20284.75,45.5,0.2630057803468208,0.6428571428571429,0.46153846153846156,True,False,False,False,-1.0,-1.0,-1.0
2024-10-01,down,35,125,0.39732142857142855,448.0,2,19905.25,19996.0,90.75,0.20256696428571427,0.9614325068870524,0.6694214876033058,True,False,False,False,-1.0,-1.0,-1.0
2024-10-02,up,15,175,0.45666991236611487,256.75,1,20017.5,19973.0,44.5,0.1733203505355404,1.6348314606741574,0.05056179775280899,True,False,False,False,-1.0,-1.0,-1.0
2024-10-07,down,240,245,0.30337078651685395,155.75,1,20061.0,20078.75,17.75,0.11396468699839486,1.6619718309859155,0.0,True,False,False,False,-1.0,-1.0,-1.0
2024-10-08,up,0,80,0.30514705882352944,204.0,3,20254.5,20211.5,43.0,0.2107843137254902,0.4476744186046512,0.12209302325581395,True,False,False,False,-1.0,-1.0,-1.0
2024-10-09,up,25,285,0.2530795072788354,223.25,1,20438.5,20405.25,33.25,0.14893617021276595,0.6992481203007519,1.330827067669173,False,True,False,False,0.6992481203007519,0.5939849624060151,0.5939849624060151
2024-10-15,down,0,80,0.36051829268292684,328.0,3,20349.25,20449.5,100.25,0.30564024390243905,0.17955112219451372,0.9501246882793017,False,True,False,False,0.17955112219451372,0.057356608478802994,0.057356608478802994
2024-10-22,up,185,280,0.38345864661654133,232.75,2,20545.25,20513.0,32.25,0.1385606874328679,1.7674418604651163,0.8449612403100775,False,False,False,False,-0.17054263565891473,-0.17054263565891473,-0.17054263565891473
2024-10-25,down,190,275,0.41253791708796766,247.25,1,20527.5,20562.0,34.5,0.13953488372093023,1.9565217391304348,1.318840579710145,False,False,False,False,0.9420289855072463,0.9420289855072463,0.9420289855072463
2024-10-28,down,125,220,0.44583333333333336,120.0,1,20538.5,20560.25,21.75,0.18125,1.4597701149425288,2.413793103448276,False,True,False,False,1.4597701149425288,1.7471264367816093,1.7471264367816093
2024-10-31,down,15,175,0.2651734104046243,346.0,2,20069.0,20115.0,46.0,0.1329479768786127,0.9945652173913043,1.298913043478261,True,True,False,False,0.9945652173913043,-1.0,-1.0
2024-11-05,up,60,285,0.40863787375415284,225.75,3,20330.25,20280.5,49.75,0.2203765227021041,0.8542713567839196,0.39195979899497485,False,False,False,False,0.22110552763819097,0.22110552763819097,0.22110552763819097
2024-11-07,up,15,60,0.28315946348733234,167.75,2,21163.5,21124.25,39.25,0.23397913561847988,0.21019108280254778,2.2802547770700636,False,True,True,False,0.21019108280254778,1.2786624203821657,1.484076433121019
2024-11-12,down,40,50,0.4207492795389049,86.75,1,21169.75,21201.5,31.75,0.3659942363112392,0.14960629921259844,3.622047244094488,True,True,True,True,0.14960629921259844,0.8326771653543307,1.515748031496063
2024-11-13,up,100,135,0.27892234548335976,157.75,2,21202.0,21170.25,31.75,0.20126782884310618,0.3858267716535433,2.094488188976378,True,True,True,False,0.3858267716535433,1.6279527559055118,-1.0
2024-11-14,down,135,300,0.2923898531375167,187.25,1,20995.0,21042.25,47.25,0.2523364485981308,0.15873015873015872,0.5026455026455027,False,True,False,False,0.15873015873015872,-0.2857142857142857,-0.2857142857142857
2024-11-15,down,10,310,0.26119402985074625,368.5,2,20455.25,20501.5,46.25,0.1255088195386703,1.0810810810810811,0.03783783783783784,True,False,False,False,-1.0,-1.0,-1.0
2024-11-18,up,0,145,0.48152295632698766,223.25,3,20661.25,20616.75,44.5,0.19932810750279956,1.4157303370786516,0.16853932584269662,True,False,False,False,-1.0,-1.0,-1.0
2024-11-19,up,0,115,0.29831387808041504,192.75,1,20685.25,20643.25,42.0,0.2178988326848249,0.36904761904761907,2.5535714285714284,False,True,True,False,0.36904761904761907,1.5163690476190477,1.9047619047619047
2024-11-27,down,5,75,0.27104722792607805,243.5,3,20705.75,20762.0,56.25,0.23100616016427106,0.17333333333333334,0.5466666666666666,True,True,False,False,0.17333333333333334,-1.0,-1.0
2024-12-02,up,0,35,0.35674157303370785,178.0,2,21192.0,21141.0,51.0,0.28651685393258425,0.24509803921568626,1.3284313725490196,False,True,True,False,0.24509803921568626,1.1176470588235294,0.49019607843137253
2024-12-04,up,0,25,0.2826086956521739,103.5,2,21482.5,21462.5,20.0,0.1932367149758454,0.4625,0.7125,True,True,False,False,0.4625,-1.0,-1.0
2024-12-05,down,170,195,0.4956268221574344,85.75,1,21510.5,21524.0,13.5,0.15743440233236153,2.1481481481481484,3.814814814814815,False,True,True,False,2.1481481481481484,3.736111111111111,2.5925925925925926
2024-12-06,up,155,245,0.31377899045020463,183.25,1,21631.25,21611.75,19.5,0.10641200545702592,1.9487179487179487,1.6538461538461537,False,False,False,False,1.3974358974358974,1.3974358974358974,1.3974358974358974
2024-12-09,down,5,15,0.4172661870503597,139.0,1,21523.5,21567.75,44.25,0.3183453237410072,0.3107344632768362,1.9774011299435028,False,True,True,True,0.3107344632768362,1.0960451977401129,1.88135593220339
2024-12-10,down,25,100,0.2583201267828843,157.75,1,21453.25,21489.75,36.5,0.23137876386687797,0.11643835616438356,0.2534246575342466,True,True,False,False,0.11643835616438356,-1.0,-1.0
2024-12-13,down,10,80,0.3778467908902691,241.5,1,21688.75,21757.75,69.0,0.2857142857142857,0.322463768115942,0.21014492753623187,True,False,False,False,-1.0,-1.0,-1.0
2024-12-16,up,0,30,0.3079922027290448,128.25,3,22016.75,21984.75,32.0,0.24951267056530213,0.234375,4.2421875,False,True,True,True,0.234375,1.236328125,2.23828125
2024-12-18,down,215,245,0.27230411171450736,322.25,1,22062.5,22117.25,54.75,0.16989914662529093,0.6027397260273972,11.552511415525114,False,True,True,True,0.6027397260273972,2.074200913242009,3.545662100456621
2024-12-19,down,0,150,0.3402450518378888,265.25,3,21447.75,21522.75,75.0,0.2827521206409048,0.20333333333333334,0.12666666666666668,True,False,False,False,-1.0,-1.0,-1.0
2024-12-20,up,0,235,0.2504794783275796,651.75,1,21718.0,21649.0,69.0,0.10586881472957423,1.3659420289855073,0.5108695652173914,True,False,False,False,-1.0,-1.0,-1.0
2024-12-23,up,80,125,0.33733733733733734,249.75,3,21697.25,21642.25,55.0,0.22022022022022023,0.5318181818181819,1.4454545454545455,False,True,False,False,0.5318181818181819,1.059090909090909,1.059090909090909
2024-12-30,up,65,315,0.360062893081761,318.0,1,21471.5,21456.5,15.0,0.04716981132075472,6.633333333333334,1.9833333333333334,True,False,False,False,-1.0,-1.0,-1.0
2024-12-31,down,30,160,0.46167557932263814,280.5,1,21281.0,21337.5,56.5,0.2014260249554367,1.2920353982300885,1.752212389380531,False,True,False,False,1.2920353982300885,1.075221238938053,1.075221238938053
2025-01-02,down,115,265,0.3514394350896252,460.25,3,21064.0,21145.5,81.5,0.1770776751765345,0.9846625766871165,0.024539877300613498,True,False,False,False,-1.0,-1.0,-1.0
2025-01-07,down,0,60,0.4274292742927429,406.5,3,21513.25,21573.25,60.0,0.14760147601476015,1.8958333333333333,3.8958333333333335,False,True,True,False,1.8958333333333333,3.589583333333333,2.5708333333333333
2025-01-13,up,15,235,0.3707201889020071,211.75,4,20893.0,20835.25,57.75,0.2727272727272727,0.3593073593073593,1.2380952380952381,False,True,False,False,0.3593073593073593,0.9567099567099567,0.9567099567099567
2025-01-14,down,5,65,0.3169291338582677,254.0,1,20890.25,20956.25,66.0,0.25984251968503935,0.2196969696969697,1.4924242424242424,True,True,True,False,0.2196969696969697,1.1818181818181819,-1.0
2025-01-17,up,160,230,0.3302752293577982,190.75,2,21643.0,21609.0,34.0,0.1782437745740498,0.8529411764705882,0.029411764705882353,True,False,False,False,-1.0,-1.0,-1.0
2025-01-21,up,135,265,0.30456852791878175,246.25,2,21724.75,21697.0,27.75,0.11269035532994924,1.7027027027027026,1.1081081081081081,False,False,False,False,-0.36936936936936937,-0.36936936936936937,-0.36936936936936937
2025-01-22,up,10,255,0.45549738219895286,191.0,1,22030.0,22006.5,23.5,0.12303664921465969,2.702127659574468,0.5106382978723404,True,False,False,False,-1.0,-1.0,-1.0
2025-02-03,up,0,40,0.3391430646332607,344.25,1,21430.25,21340.75,89.5,0.2599854756717502,0.30446927374301674,1.0,False,True,False,False,0.30446927374301674,-0.2681564245810056,-0.2681564245810056
2025-02-04,up,5,145,0.4987012987012987,288.75,1,21622.75,21550.0,72.75,0.2519480519480519,0.979381443298969,0.8591065292096219,False,False,False,False,0.6254295532646048,0.6254295532646048,0.6254295532646048
2025-02-05,up,35,185,0.2919254658385093,241.5,2,21714.0,21672.0,42.0,0.17391304347826086,0.6785714285714286,1.3095238095238095,False,True,False,False,0.6785714285714286,1.125,1.125
2025-02-07,down,20,55,0.4119718309859155,355.0,1,21656.0,21759.25,103.25,0.2908450704225352,0.41646489104116224,1.0,False,True,False,False,0.41646489104116224,0.6561743341404358,0.6561743341404358
2025-02-10,up,5,80,0.385,150.0,2,21855.25,21836.25,19.0,0.12666666666666668,2.039473684210526,0.9342105263157895,True,False,False,False,-1.0,-1.0,-1.0
2025-02-11,up,10,65,0.3294289897510981,170.75,1,21837.25,21815.25,22.0,0.12884333821376281,1.5568181818181819,0.13636363636363635,True,False,False,False,-1.0,-1.0,-1.0
2025-02-14,up,25,265,0.4346895074946467,116.75,2,22178.25,22156.0,22.25,0.1905781584582441,1.2808988764044944,2.101123595505618,False,True,False,False,1.2808988764044944,0.7191011235955056,0.7191011235955056
2025-02-18,down,215,245,0.394856278366112,165.25,1,22146.75,22168.0,21.25,0.12859304084720122,2.070588235294118,0.0,True,False,False,False,-1.0,-1.0,-1.0
2025-02-19,up,70,125,0.33948339483394835,135.5,1,22222.0,22207.5,14.5,0.1070110701107011,2.1724137931034484,2.3793103448275863,True,True,False,False,2.1724137931034484,-1.0,-1.0
2025-02-21,down,0,55,0.35995955510616784,247.25,1,21992.75,22029.75,37.0,0.14964610717896865,1.4054054054054055,8.925675675675675,False,True,True,True,1.4054054054054055,3.0760135135135136,4.746621621621622
2025-02-26,down,175,265,0.3154459753444525,344.75,2,21093.75,21173.25,79.5,0.23060188542422044,0.36792452830188677,0.20440251572327045,True,False,False,False,-1.0,-1.0,-1.0
2025-03-05,up,125,195,0.3697705802968961,370.5,3,20540.5,20448.5,92.0,0.2483130904183536,0.4891304347826087,2.005434782608696,False,True,True,False,0.4891304347826087,1.4959239130434783,1.2771739130434783
2025-03-06,down,90,175,0.2817647058823529,425.0,3,20136.0,20208.0,72.0,0.16941176470588235,0.6631944444444444,1.8472222222222223,False,True,False,False,0.6631944444444444,0.6145833333333334,0.6145833333333334
2025-03-07,up,230,320,0.34513274336283184,508.5,1,20248.0,20098.5,149.5,0.29400196656833827,0.17391304347826086,0.25585284280936454,False,True,False,False,0.17391304347826086,-0.1605351170568562,-0.1605351170568562
2025-03-07,down,0,105,0.2733473242392445,476.5,2,19790.25,19895.75,105.5,0.22140608604407136,0.23459715639810427,0.04265402843601896,True,False,False,False,-1.0,-1.0,-1.0
2025-03-10,down,0,95,0.4745762711864407,383.5,3,19567.75,19703.0,135.25,0.35267275097783574,0.3456561922365989,2.1848428835489835,False,True,True,True,0.3456561922365989,1.05452865064695,1.7634011090573012
2025-03-14,up,30,125,0.3699530516431925,266.25,1,19654.75,19604.5,50.25,0.18873239436619718,0.9601990049751243,1.7462686567164178,False,True,False,False,0.9601990049751243,1.0049751243781095,1.0049751243781095
2025-03-18,down,30,80,0.3293918918918919,296.0,3,19651.25,19701.75,50.5,0.17060810810810811,0.9306930693069307,0.4603960396039604,True,False,False,False,-1.0,-1.0,-1.0
2025-03-20,up,10,75,0.40114613180515757,349.0,2,20046.25,19965.0,81.25,0.2328080229226361,0.7230769230769231,0.08923076923076922,True,False,False,False,-1.0,-1.0,-1.0
2025-03-21,up,25,185,0.329004329004329,288.75,1,19856.0,19801.25,54.75,0.18961038961038962,0.7351598173515982,2.1552511415525113,False,True,True,False,0.7351598173515982,2.0536529680365296,1.7716894977168949
2025-03-24,up,15,135,0.4075907590759076,151.5,2,20352.75,20319.0,33.75,0.22277227722772278,0.8296296296296296,0.17037037037037037,True,False,False,False,-1.0,-1.0,-1.0
2025-03-31,up,50,210,0.3028700906344411,331.0,1,19280.5,19207.5,73.0,0.22054380664652568,0.3732876712328767,2.8664383561643834,False,True,True,True,0.3732876712328767,1.5068493150684932,2.6404109589041096
2025-04-02,up,25,245,0.49760348583877995,573.75,3,19700.0,19604.75,95.25,0.16601307189542483,1.9973753280839894,1.0078740157480315,False,False,False,False,0.4881889763779528,0.4881889763779528,0.4881889763779528
2025-04-04,down,0,215,0.46621621621621623,629.0,2,17800.0,17913.0,113.0,0.17965023847376788,1.595132743362832,2.4026548672566372,False,True,False,False,1.595132743362832,2.3473451327433628,2.3473451327433628
2025-04-08,down,40,100,0.2983323038912909,404.75,1,18001.0,18073.25,72.25,0.17850525015441632,0.671280276816609,14.221453287197232,False,True,True,True,0.671280276816609,2.0717993079584773,3.472318339100346
2025-04-09,up,150,180,0.26590873203852833,1583.25,1,18719.0,18364.5,354.5,0.22390652139586295,0.18758815232722145,1.883638928067701,False,True,True,False,0.18758815232722145,1.3041255289139633,1.5528913963328632
2025-04-11,up,120,185,0.37548076923076923,520.0,2,18738.0,18594.75,143.25,0.27548076923076925,0.36300174520069806,0.9458987783595113,False,True,False,False,0.36300174520069806,0.49912739965095987,0.49912739965095987
2025-04-14,down,55,145,0.3102948284195263,517.25,1,18784.5,18898.0,113.5,0.2194296761720638,0.41409691629955947,0.0,True,False,False,False,-1.0,-1.0,-1.0
2025-04-15,down,200,295,0.4472168905950096,260.5,2,18962.0,19000.75,38.75,0.14875239923224567,2.0064516129032257,1.0193548387096774,False,False,False,False,0.06451612903225806,0.06451612903225806,0.06451612903225806
2025-04-23,down,55,70,0.3210568454763811,312.25,2,18889.25,18953.5,64.25,0.20576461168935148,0.5603112840466926,2.2140077821011674,True,True,True,False,0.5603112840466926,1.7752918287937742,-1.0
2025-04-24,up,0,30,0.27811094452773616,333.5,1,19158.75,19087.25,71.5,0.2143928035982009,0.2972027972027972,2.5104895104895104,False,True,True,False,0.2972027972027972,1.4632867132867133,2.2517482517482517
2025-04-29,up,190,315,0.2581211589113257,284.75,2,19662.75,19615.0,47.75,0.16769095697980685,0.5392670157068062,0.41361256544502617,False,False,False,False,-0.3769633507853403,-0.3769633507853403,-0.3769633507853403
2025-04-30,up,0,175,0.3691683569979716,369.75,3,19456.75,19337.0,119.75,0.32386747802569305,0.13987473903966596,2.162839248434238,False,True,True,True,0.13987473903966596,0.9117954070981211,1.6837160751565763
2025-05-05,up,30,90,0.42162162162162165,138.75,3,20113.5,20065.5,48.0,0.34594594594594597,0.21875,1.625,True,True,True,False,0.21875,0.94140625,-1.0
2025-05-07,down,20,60,0.301460823373174,188.25,2,19799.0,19845.75,46.75,0.24833997343957503,0.21390374331550802,0.18181818181818182,True,False,False,False,-1.0,-1.0,-1.0
2025-05-08,up,60,240,0.2875087229588276,358.25,2,20303.5,20234.25,69.25,0.19330076762037685,0.48736462093862815,0.4007220216606498,True,False,False,False,-1.0,-1.0,-1.0
2025-05-08,down,20,30,0.3128205128205128,195.0,1,20000.5,20040.0,39.5,0.20256410256410257,0.5443037974683544,0.0,True,False,False,False,-1.0,-1.0,-1.0
