date,slot,o,h,l,c,range,body_ratio,close_dist,exp_ratio,med20,rel_range,broke,break_dir,reverted,reverted_first,max_ext,max_retrace,ctype,body_ratio_b,rel_range_b,close_dist_b,exp_ratio_b
2024-11-15,7,20843.75,20867.0,20835.75,20862.75,31.25,0.608,0.728,0.984251968503937,40.25,0.7763975155279503,True,down,True,True,5.016,0.856,mixed,high,low,high,mid
2024-11-18,7,20572.25,20583.5,20550.25,20557.75,33.25,0.43609022556390975,0.5488721804511278,0.8926174496644296,39.0,0.8525641025641025,True,down,True,False,2.0676691729323307,1.1203007518796992,mixed,mid,mid,mid,mid
2024-11-19,7,20581.0,20623.5,20577.0,20614.0,46.5,0.7096774193548387,0.5913978494623656,0.916256157635468,37.875,1.2277227722772277,True,down,False,False,4.182795698924731,0.23655913978494625,expansion,high,high,mid,mid
2024-11-20,7,20793.75,20823.25,20788.5,20819.75,34.75,0.7482014388489209,0.7985611510791367,1.0451127819548873,40.25,0.8633540372670807,True,up,True,True,0.19424460431654678,6.0503597122302155,mixed,high,mid,high,mid
2024-11-21,7,20731.75,20808.75,20723.25,20762.0,85.5,0.3538011695906433,0.0935672514619883,1.3464566929133859,40.25,2.124223602484472,True,up,True,False,1.1345029239766082,2.111111111111111,mixed,mid,high,low,high
2024-11-22,7,20770.25,20802.5,20768.0,20796.5,34.5,0.7608695652173914,0.6521739130434783,0.6448598130841121,40.25,0.8571428571428571,True,up,True,True,2.0434782608695654,0.927536231884058,mixed,high,mid,mid,low
2024-11-25,7,20964.75,20973.0,20943.75,20955.0,29.25,0.3333333333333333,0.23076923076923078,1.6714285714285715,37.75,0.7748344370860927,True,down,True,True,0.8632478632478633,4.6923076923076925,consolidation,mid,low,low,high
2024-11-26,7,20938.75,20955.0,20926.5,20946.75,28.5,0.2807017543859649,0.42105263157894735,0.43018867924528303,37.75,0.7549668874172185,True,down,True,True,0.23684210526315788,3.4473684210526314,consolidation,low,low,mid,low
2024-11-27,7,20930.5,20951.0,20916.5,20943.75,34.5,0.38405797101449274,0.5797101449275363,1.0298507462686568,37.75,0.9139072847682119,True,up,True,False,0.572463768115942,3.246376811594203,mixed,mid,mid,mid,mid
2024-11-28,7,20861.75,20875.5,20858.75,20872.75,16.75,0.6567164179104478,0.6716417910447762,1.098360655737705,36.375,0.46048109965635736,True,down,True,True,0.04477611940298507,2.2686567164179103,mixed,high,low,high,mid
2024-11-29,7,20884.25,20886.75,20842.25,20857.75,44.5,0.5955056179775281,0.30337078651685395,2.225,35.5,1.2535211267605635,True,down,True,False,0.8258426966292135,1.7303370786516854,expansion,high,high,low,high
2024-12-02,7,20968.5,21012.0,20965.5,21006.75,46.5,0.8225806451612904,0.7741935483870968,2.066666666666667,35.5,1.3098591549295775,True,up,False,False,3.3978494623655915,0.17204301075268819,expansion,high,high,high,high
2024-12-03,7,21207.25,21221.5,21187.25,21206.75,34.25,0.014598540145985401,0.1386861313868613,1.3838383838383839,35.5,0.9647887323943662,True,up,True,True,0.13138686131386862,2.5474452554744524,mixed,low,mid,low,high
2024-12-04,7,21418.25,21426.75,21407.75,21410.75,19.0,0.39473684210526316,0.6842105263157895,0.672566371681416,34.625,0.5487364620938628,True,up,True,True,1.5921052631578947,2.026315789473684,consolidation,mid,low,high,low
